Term,Sentence,Video ID
rete," Once dry, a ""rete"" was applied, which was a knotted mesh of twine that allowed the surface to shine",ygSijsOEano
jabegas," The ""jabegas"" or large meshes for carrying straw in the carts, were the product of the ropemakers' patient work of making mesh",ygSijsOEano
panas," The wooden mold was used to fold the rope, which was wound on its surface, in layers called ""panas""",ygSijsOEano
paste," The ice ""paste"" that appears under the straw retains the same impurities of earth and small stones that were mixed during the embedding",3RQv3xjVr-M
loaves," Sometimes outside and other times in a small hut attached to the well, ice ""loaves"" were made, introducing the paste into wooden walls as boxes, of different sizes depending on the areas and means of transport to be used",3RQv3xjVr-M
soteras," The ice paste was also separated with hoes called ""soteras"", which, due to their triangular shape, penetrated the ice better",3RQv3xjVr-M
sparrancau," You pitched it, you cut it to size, you measured it with two rulers, two boards, the height, and with that you cut it and with this you put it up, but always with your feet like that, all day long, you ""sparrancau"" on this ",ScqocuKgjSY
thumb," Normally, on each arm of the vine the vinedresser usually leaves a ""thumb"" with two buds that will give rise to new shoots",kwvHS1RcQVg
jarmentar," The work of ""jarmentar"" consists of collecting the cut bundles that remain on the ground, thus facilitating subsequent work",kwvHS1RcQVg
heel," Some of these bundles, which have been left with a small ""heel"", are those that will be used in the planting of new vines",kwvHS1RcQVg
devils," With the attack and spread of phylloxera, American feet or ""devils"" were imported, resistant to the disease",kwvHS1RcQVg
spike grafting," The method of planting vines, called ""spike grafting"", is the most common and is carried out in the month of June",kwvHS1RcQVg
rusar," The first two are deeper than the third, and are done with the plow or ""rusar""",kwvHS1RcQVg
Maigar," ""Maigar"" is a more individualized job, which consists of chopping with the jada around each of the vines, aerating the soil",kwvHS1RcQVg
Chop the tallow," ""Chop the tallow"" consists of making a ball with kidney tallow in the shape of a plug to close the exit of the winepress",kwvHS1RcQVg
refreshed," So that the must does not spoil, the winepress must be ""refreshed"" every day by treading new clusters",kwvHS1RcQVg
mostillo," After a long boil over the fire, which reduces its volume to a quarter, and mixing the resulting broth with flour, some families obtain the sweet and tasty ""mostillo"" wine",kwvHS1RcQVg
claret," To prepare ""claret"" wine, the must obtained is introduced directly into the vats, where a microscopic fungus or yeast develops",kwvHS1RcQVg
smell," One way to check the existence of ""smell"" is by introducing a flame that reveals the lack of oxygen inside",kwvHS1RcQVg
tuff," The large amount of carbon dioxide or ""tuff"", released during the 8 or 10 days that the process lasts, makes entry into the winery very dangerous and even fatal",kwvHS1RcQVg
stench," To access the winepress and remove the breezes, it is necessary to previously extract the ""stench"", airing the interior with a blanket",kwvHS1RcQVg
Piercing the winepress," ""Piercing the winepress"" is called this very important moment in which the quality of the product is checked, removing the tallow plug",kwvHS1RcQVg
corner," Presses made of wood and called ""corner"" presses that are still in operation are few and rare",kwvHS1RcQVg
first luck," The ""first luck"" is called the first quantity of anise that is obtained, after boiling and subsequent liquefaction of the alcohol",kwvHS1RcQVg
millo," Although wheat and ""millo"" or corn predominate today, there have been many types of grain used to make gofio",LtkxDg-8ddQ
pick," This task consists of making a cut with the ""pick"", forming grooves and edges on the contact surfaces of both wheels, in order to break and tear the grain",LtkxDg-8ddQ
macho," The traditional windmill, called a ""macho"" windmill on the island of Fuerteventura, is crowned by the wooden cap, which rotates by means of the tail or rudder, directing the blades to the wind",LtkxDg-8ddQ
kneading," Mixed in the appropriate proportions, José kneads the gofio, ""kneading"" it with his hands, until it reaches the point of softness at which the aroma is extracted",LtkxDg-8ddQ
peguero," Priscilo de Pablo is the last active ""peguero"" in the entire region",5X2nEQzzR0Y
pegueras," For the last forty years he has dedicated himself to the manufacture of pitch in one of the 15 or 16 ""pegueras"" that, until a few decades ago, operated in Navas de Oro",5X2nEQzzR0Y
tartars," His friend Segismundo accompanies him to the pine forest to help him transport the ""tartars"" that he is collecting",5X2nEQzzR0Y
grind," The floor inside, called the ""grind"", has a certain inclination towards a hole through which the fish will slip",5X2nEQzzR0Y
throwing a canvas," We call it ""throwing a canvas"" over the hole so that dirt doesn't fall, so that the hole doesn't get stuck",5X2nEQzzR0Y
peguera," While increasing the volume of fuel inside, our friend Priscilo is closing the mouth of the ""peguera"" with adobes so that no dirt enters",5X2nEQzzR0Y
serojas," The last layer is made of pine shavings, called ""serojas""",5X2nEQzzR0Y
grill," Priscilo must introduce the hot ""grill"" to melt the fish and open the way",5X2nEQzzR0Y
cocoa beans,"The raw material for making chocolate is cocoa beans, or ""cocoa beans"" as chocolatiers say, imported from tropical countries such as Ghana, Guinea or Brazil",f1YPvaVlRXI
by hand," The Fernández brothers, continuers of this family tradition, are going to show us how chocolate was made ""by hand"", before the incorporation of machinery",f1YPvaVlRXI
by-hand," As we have seen, there are hardly any differences between the traditional ""by-hand"" process and the mechanized one",f1YPvaVlRXI
gofieras," To remember this old craft, Lucas is going to make us three ""gofieras"" or containers to store the gofio",JGE9xMajYHI
"ducktail,"," If he wants to achieve perfect angulation of the tab, Lucas must rest the tin strip on the ""ducktail,"" which is a wedge-shaped iron rig",JGE9xMajYHI
gofiera," To pick up the gofio, you need small spoons or shovels, the manufacture of which is also carried out by the tinsmith, following a process similar to that which we have seen with the ""gofiera""",JGE9xMajYHI
molonar," This work of ""molonar"" consists of going around the entire solero of the threshing floor, with the molón hooked to the cavalry, so that the surface is as flat as possible",AzFXfiRQ1cc
Singing," ""Singing"" consists of turning the straw towards the center of the threshing floor so that the threshing discs pass over it and crush it",AzFXfiRQ1cc
sing the pallada," Before going to eat, the threshers go to ""sing the pallada"" so that it warms up during the hours of the most intense heat",AzFXfiRQ1cc
Folding," ""Folding"" is the name given to this work, which consists of piling up all the product resulting from threshing in a corner",AzFXfiRQ1cc
scraping," For winnowing or ""scraping"" a day of air is necessary",AzFXfiRQ1cc
alleviate," If they want to achieve definitive cleaning, they will have to ""alleviate"" the grain, that is, throw it with the wooden shovels into the air so that it drags away the dust and the finer straws that they still contain",AzFXfiRQ1cc
retavillo," While one brings the straw to the window with the ""retavillo"", the other pushes it inside with the pitchfork",AzFXfiRQ1cc
calcañu," After lowering the back part or ""calcañu"", Toñucu forms the feet of the albarca",RgiiDoUs18Q
Making the house," ""Making the house"" is called the work of preparing the accommodation for the foot",RgiiDoUs18Q
house," The quality of the albarca (good hole and optimal thickness) is a constant in Toñucu's work , and the size of the ""house"" must be loose to insert the foot with the boot",RgiiDoUs18Q
curette," To eliminate irregularities in the cuts of the adze, and in order to reduce, regularly and controlled, the thickness of the albarca, the craftsman proceeds to the operation called ""curette"", which is carried out with the ""curette""",RgiiDoUs18Q
bocaus," At the point of a knife, and with a gouge made from the rod of an umbrella, Toñucu applies different cuts to the lid of the piece, configuring a decoration based on dots, stripes and ""bocaus"" in the shape of a half-moon",RgiiDoUs18Q
bocau," And then we will add the ""bocau""",BAq0i1aLCi8
modolones," This is the ""modolones"" to do the loading",BAq0i1aLCi8
porrillo," Pedro prepares the ""porrillo"", which is a piece of iron tied to one of the ends of the string, and throws it with precision between the pine branches",EscXwXbZjk0
ranchera," In order to be able to break them, Domingo carries the pineapples in a sack and places them in the ""ranchera"", which is a large granite stone on the esplanade of the pine forest",EscXwXbZjk0
backs up," With the ax, Domingo ""backs up"" the pine cones, that is, he cuts off the part that joined them to the branch and that does not have pine nuts",EscXwXbZjk0
serilla," The ones I have seen have always been greedy and fat, and you can see that they shine, like glass, those are the ones, but these are not, you see, this is the one from the threshing floor, and they are loose around here, or what? That is an authentic threshing floor Well, those that they lost, because since they traveled everything with the donkeys, they would lose them, because it is strange that they are like this, they are already made, the path that the donkey went down with the ""serilla"" loaded with stones , see if there are loose ones here, so you can see, and I would lose them, of course I would lose them, they would fill the ""serilla"" so much that with the movement of the animal I would lose them",Rq2PuL5rAic
costellas," After brushing all the pieces, José begins to weave the ""costellas"" in a delicate process that requires great meticulousness",V2QevPQAiTE
black market era," Like many basic foodstuffs, noodles, macaroni and noodles made with flour therefore became an object of barter during the ""black market era""",v-uz9R3XV2M
puff," At that moment when the hot pasta came out, a person helped with the ""puff"", preventing the resulting noodles from sticking together with the air",v-uz9R3XV2M
weapon," With the ""weapon"" or iron comb, all the skin of the cavalry is scratched, removing the dirt that is in their hair",RSCP-ahwg1Y
Cabretas," The pastoral cycle is part of transhumance and cabañeras and began with the appearance of the stars called Pleiades or ""Cabretas"", which indicated that it was time to leave for a foreign land or low land, coinciding with the days of Saint Miguel or Sanmigalada",4xuvrAdhy0g
Fustes," Likewise, the return home would also be marked by the stars with Orion's Belt or ""Fustes""",4xuvrAdhy0g
las salteras," In a place normally called ""las salteras"" salt was poured on some stones so that the animals could provide themselves with this element",4xuvrAdhy0g
sits," These are corner pads for the palm of the hand, which is the most sensitive area between the fingers and the ""sits"" are done and this type of problem is avoided",m9eEn9E8Kyg
tajadilla," This is the citron that is added to the meloja and then it is peeled, then the stem is removed and then it is made ""tajadilla"" which is called",qn9GxIYsaLE
granzau," However, the ""granzau"" or bush was also used in other times for popular veterinary medicine",4VLru0YEZBk
palometa," Separate e! The powder from the chaff is passed through a clear sieve to separate the chamomile from the so-called ""palometa"", which are leaves, trunks, poorly formed heads and other impurities that in other times had an independent market for veterinary use",4VLru0YEZBk
Portuguese style," And these turns are called ""Portuguese style""",vbnWZ0hZM9g
disturbs," We proceed to do it this way so that it ""disturbs""",vbnWZ0hZM9g
La Carantoña," Despite the technology applied, in the ""La Carantoña"" cheese factory in Acehúche, there is hardly any difference between family production and industrial manufacturing forced by the demand for this high-quality cheese with high nutritional value",a5tpHNRt__g
picote," The ""picote"" is a notch carved with a hammer on the anvil, which separates the part of the handle from that of the blade",tqWL4zZtAkE
enzaborrar," This is ""enzaborrar"", this, on a regular basis, is done by the boys, and I, since I am already in that union",vtSLKbu83wU
fishtail," Then, sitting on a bench he calls a donkey, on a ""fishtail"" bigornia, he closes the angulation of the fold of the sheet even more",4Q1UwHrKjrc
adjust," I'm going to open the mouth, here we can see that it has already been drilled with the help of a drill and some drill bits, because it's better, and I'm going to ""adjust"" it to start opening the mouth of the brazier",MLxOcfVTEio
love," We ""love"" too",MLxOcfVTEio
guinchon," We will cut this ""guinchon"", so to speak in some way, this sprout a little more flush and it will give us a place to support our hand and it will look nice",_JICxfYepic
saca flor," This is called ""saca flor"", cutting blade, this is a half moon, this is a nail",-yAnvddB2T8
Pastel,"Sebastián de Covarrubias, in his ""Treasure of the Castilian or Spanish language"", written in 1611, describes ""Pastel"" as a ""known herb, which dyers use for the blue color of wool",Tm8sAwF4x_Y
cramped," If the canes are cut outside of these dates, it is very likely that they will become ""cramped"" and damaged",U1ImJF8QTTM
albardín,"In Lalueza, the esparto grass, which grows wild in its mountains, is called ""albardín"" and its production has been one of the activities that has mainly occupied its neighbors",JR4OlkA2090
soguetas de engavillar," From this town entire regions were supplied with ""soguetas de engavillar"", until their use disappeared in the sixties",JR4OlkA2090
plucking," The process of making esparto grass began by ""plucking"" the bush, green and straight, in the month of August",JR4OlkA2090
tendedor," Once the esparto grass was uprooted, it was taken to a plain where there were stubble, thyme or entinas, and it was spread over an area of ​​stones called ""tendedor""",JR4OlkA2090
Tardar," ""Tardar"", the residents of Lalueza called the fact of staying at night to make sogueta after dinner",JR4OlkA2090
írenceta," Between twelve and eight at night, in the stable of the house to collect the heat of the animals on cold winter days; and in the streets of the town, in the healthiest afternoons and nights, men, women, children and the elderly, gathered for this work of making ""írenceta"", complementary to agricultural tasks",JR4OlkA2090
pull," A small rope made with double braid, and tied to the knocker of the house, to a stone or to any type of hitch, marked the beginning of the ""pull""",JR4OlkA2090
fencejos," The qualities of the ""fencejos"" (swifts) were in direct relation to the weight of the esparto grass used in their production",JR4OlkA2090
fajos," Today they are still preserved in many haystacks from Lalueza, complete ""fajos"" that could not be sold due to lack of use",JR4OlkA2090
form," Once the sheet of paper is made, the ""form"" that has served to control the grammage and the homogeneous arrangement of the fibers is separated",3-zBNZuXKOs
posta," This operation is repeated several times until the ""posta"" is completed, which is 261 sheets",3-zBNZuXKOs
white post," The ""white post"" is taken to the viewpoint or dryer which is located on the upper floors of the mill and open to the outside with many small windows",3-zBNZuXKOs
spigot," The operation of laying the sheets is carried out with great skill by two operators: one who prepares the sheets and the clothesline who hangs them from the hemp ropes with the help of the ""spigot""",3-zBNZuXKOs
worker," The ""worker"" places about 10 or 15 sheets of paper under the mallet and changes their position with each blow so that they are smoothed over their entire surface and acquire the necessary uniformity",3-zBNZuXKOs
veins," The division of the strands into groups called ""veins"", of the same measurements determined by practice and experience, facilitated the braiding process",rGgy1mw4nUA
canal," The ""canal"" type hemp, of better quality than tow, was the one used by the espadrille makers, in the production of sewing",rGgy1mw4nUA
carcass," Having sworded the ""carcass"" by hand, it was placed at the waist to begin spinning",rGgy1mw4nUA
sewing bag," To make the ""sewing bag"", double thread of greater resistance was needed, so the threads had to be twisted",rGgy1mw4nUA
sewing," Once the ""sewing"" was finished, a damp cloth was wiped over it to fix any loose strands to the body of the cord",rGgy1mw4nUA
sewing machine," Once the ""sewing machine"" and the braid were prepared, the espadrille maker had the two main elements to make the soles of the espadrilles",rGgy1mw4nUA
eye of experience," The shape of the sole was sometimes given manually, based on the ""eye of experience"", and with the right measurements for each foot size",rGgy1mw4nUA
chucha," With the ""chucha"" or tin cone, the espadrille makers inserted the final end into the braid, to prevent the braid from unraveling with use",rGgy1mw4nUA
stitch presser," Above it, there was the peg or ""stitch presser"", whose function was to serve as a support axis for tensioning the sewing",rGgy1mw4nUA
capelladoras," Other people, usually women, who called them ""capelladoras"" took care of this work",rGgy1mw4nUA
mother," The old or ""mother"" wine is collected in a glass carboy",TniYfmfJP7M
casca," With all the ""casca"" Manolo prepares a pile, called pie, in the center of the winery",TniYfmfJP7M
shell," Manolo turns the spindle of the beam, which is threaded into the ""shell"", and from which a large stone hangs",TniYfmfJP7M
lagarete," In this last pressing, a certain amount of wine is still obtained, called repís, which is incorporated into what is already fermenting in the ""lagarete""",TniYfmfJP7M
bagasse," After pressing the stem, a mixture of skins and seeds remains in the winepress, which is called ""bagasse"" and which will be used as fertilizer or as a nutritional supplement for domestic animals",TniYfmfJP7M
tea wines," Today, there are very few wineries and winemakers on the island of La Palma that continue to produce the traditional, unique and characteristic ""tea wines""",TniYfmfJP7M
stopping the mattresses," The work of ""stopping the mattresses"" was carried out by the mattress makers, a job that, for various reasons, has almost been relegated to the archives of memory",gwY0io3v_IA
repairing a mattress," The work of ""repairing a mattress"" begins by undoing the old one to wash the wool and old fabric if you want to use it",gwY0io3v_IA
English-style," There were two types of mattresses, the ordinary one, which ended once all the ribbons were tied and tied, and the so-called ""English-style"" one, whose sophistication consisted of making a sewn edge on all its edges",gwY0io3v_IA
estral," The ax or ""estral"" must be well sharpened, and the good choppers of Laspuña knew this task well prior to any wood cutting work",sYMUShvzmiM
barchines," When the nets contain a sufficient amount of fruit, the olives are collected in the ""barchines"", containers traditionally made of esparto grass",Eyiegvi37Jk
atroje," The farmers of the Canal de Navarrés and the neighboring regions take their olives to the olive mill, where once weighed they are stored in the ""atroje"", separated from those of the rest of the customers to be ground independently",Eyiegvi37Jk
curlers," The paste obtained in the grinding is displaced, little by little, by the conical shape of the ""curlers"" towards the outside",Eyiegvi37Jk
Barcha," Meanwhile, in the oil mill, the next generation of the Sanz family or ""Barcha"", as they are familiarly called in the region, will continue to offer them the quality of their meticulous work",Eyiegvi37Jk
salomónico," With a piece of iron square, Juan José is going to do a forging work called ""salomónico""",XWOqpD5EmKc
salomonic," To finish off and give greater eye-catching to his work, Juan José makes a ""salomonic"" in the center of the bar",XWOqpD5EmKc
neorrurals," Vimala is one of those men, called ""neorrurals"", who one day decided to change the artificial way of life of the big city for the peaceful and natural but no less hostile of the rural environment",AWRy9_2mHnU
piqueros," By asking for information from the ""piqueros"" or bricklayers in the area, he has documented the techniques and materials that were used in the past and has applied them to his work",AWRy9_2mHnU
can de chira," The ""can de chira"", a dog for turning cattle, was abundant in other times",Kaes841M_Ek
aries prensilis," This is a model of a Roman battering ram, its technical name is ""aries prensilis"" and it is a model of the ones used in the Roman army at the beginning of time during the republican period, the first centuries of the republic that later evolved their designs even covered models",A9JwbN2AY4o
guinchones," Cutting reeds is dangerous because the ""guinchones"" that remain from other years remain pointed and if you fall you can get stuck in some and it is dangerous",omaxZ_EmqKM
galena radio," In the first decades of the 20th century, this mineral was essential for the manufacture of the so-called ""galena radio"", which did not require an electrical power source to listen to radio stations",dSUa_W-rnzk
washing vacuum," Do you know what a ""washing vacuum"" is that women used to use before? You have not seen it used anymore",ncMwYxR5tII
coluzas," There are also mice that have attacked them these years, but the ones that have attacked them this year have been those owls, the ""coluzas"" that we call, they ate the chicks with a ease",G-KuDq8vaWk
chollas," once I hunted two here eating the chicks, they also attack them, and those ""chollas"" suck their eggs, those are very bad",G-KuDq8vaWk
alhucema,"Among the varied flora of the pre-Pyrenean mountains, there is a very special plant due to the use that farmers have made of it: The ""alhucema""",XgU6e7U6p9U
alcada," With one hand, protected with the soqueta to avoid cuts, the reaper takes a bunch of lavender and with the sickle cuts it by its foot until it forms a ""alcada""",XgU6e7U6p9U
lilac gold," Furthermore, the cauldron had to be in a place accessible to the reapers who brought their ""lilac gold"" on their shoulders or on horseback",XgU6e7U6p9U
stoned," Otherwise, the thread, as the spinners say, would come out ""stoned"", and the results would be disastrous",NhuCxTL8-Ig
demuré," After several turns in the ""demuré"", it became a skein",NhuCxTL8-Ig
Centenario," They called this knot ""Centenario""",NhuCxTL8-Ig
Cochi," Ten years have passed and ""Cochi"" continues to attend fairs showing his fine nose for the truffle",LaNryc_k-GM
trimming," In this ""trimming"" job, the farrier must ensure that the hooves are the same size and sit well on the ground",I9to6ki5zvE
black," This is ""black"" they call",4wRJ81v-4NA
the grows," In general, when the 3 brothers and my father, the 4 of us, would take a chair and the one who least knew would start, which was called ""the grows"", then the other would take it and do a little more and the last one towards the end, which is what this one lacks",4wRJ81v-4NA
Captain," The appointment was attended by Ángel Mediavilla, nicknamed ""Captain"", a member of the Cabaña Real de Carreteros and an expert in handling the axe",0xKlZ7gSK1Q
cat's head," Because in the past they were pruned, pruning that was called ""cat's head"", that was done to throw leaves for cattle and to use firewood for cooking",0xKlZ7gSK1Q
spinning race," At the end of the ""spinning race"", he ties the thread to a stake, and when he already has two, he checks that they are the same",I554i6HS_wg
nylon," The artisanal cordage in Rioja, as in the rest of Spain, passed to a corner of memory, when hemp fibers were replaced by ""nylon"" and industrial machines made the artisanal production of cords, ropes and ropes unfeasible",I554i6HS_wg
milking," Thus, in Chisten, cheese and butter were the two main products that were obtained after a patient and laborious process that began by milking or ""milking"" the cows, goats or sheep",J-jwdBbxglc
bully," To make the cheese, wooden tendrils are used as rings that, placed on top of a table or chopping board with a carved pattern and prepared for this use, receive the ""bully"" that molds itself to the shape of the tendril",J-jwdBbxglc
thug," Once the ""thug"" has been packed with his hands between the wooden ring and the chopping board, it is covered with salt on each of its two flat faces, ending the basic process",J-jwdBbxglc
mottles," When the leather is fixed to the packsaddle, the craftsman ""mottles"" the piece, that is, he sews with medium-sized stitches interspersing small pieces of leather",IglacfPxiSs
speckle," The ""speckle"" adorns the implement while ensuring reinforcement",IglacfPxiSs
el cañar," One of them was ""el cañar"", which in the Cinca area was practiced mainly in the month of October",Q0raWQ_MzEY
tordas," When the ""tordas"" come here, the trout go backwards and when the ""tordas"" go up, the trout go down",Q0raWQ_MzEY
reed," The ""reed"" construction technique is very simple and its raw material is the reeds that grow spontaneously on the banks of the river",Q0raWQ_MzEY
the crab," In this work, called ""the crab"", the embroiderer removes the threads in an orderly fashion with a tweezer, paying close attention, because if she were to make a mistake, the final work would be defective",orrqUUNmxeo
splashes," Well, these ""splashes"" are finished",orrqUUNmxeo
marigold," Calendula or ""marigold"" provides different shades of yellow",59knmtiUqoA
the house of the Rosaries," Casa Escutia, known as ""the house of the Rosaries"", not only offers its products locally or nationally, but for years it has crossed borders to export its religious materials and articles to different parts of the world such as North America and Latin America",8kQUoDj-EZ0
punch it," Now ""punch it""",d9tDGh6W-Gs
La Moderna," They continue with the trade of making basketry items and repairing cattail and mesh chair seats in their basketry workshop ""La Moderna"" in Barbastro",d9tDGh6W-Gs
spout," Its unmistakable figure is determined by three elements: the handle, at the top; the spout or ""spout"", on one side, where the stream we drink comes out and on the other side the mouth, where the water is filled",GSqbW2ld24g
glazing," This operation is called ""glazing"" and in Villar it is decorated with frills and the bluish color that, after baking, becomes the characteristic green of the area",GSqbW2ld24g
buchos," Hilario continues placing the blocks of earth and grass on the branches of ""buchos"" to cover any space through which the water could pass",OusfWRpIJn4
staves," The manufacturing process of a barrel begins by roughing each one of the ""staves"" or boards once dry, cutting down its four points with the knife to break its rectangular shape",9XAO48BY43o
ximén," The revision of the reduction of the staves is done in the ""ximén"" or fixed plane",9XAO48BY43o
ximen," The measurement of the curvature of its joint is taken by placing the thumb between the stave and the flat surface of the ""ximen""",9XAO48BY43o
dress," To ""dress"" or assemble the barrel, the craftsman uses an iron ring called the first mold and a stop",9XAO48BY43o
belly," Alternating the wide staves with the narrow ones, he completes the unstable body fastened with the mold ring called ""belly""",9XAO48BY43o
fitas," Manuel prepares the bottom of the barrel joining several boards with two-pointed nails called ""fitas""",9XAO48BY43o
Taming," ""Taming"" the barrel is the most characteristic process that differentiates the artisan from the industrial cooper",9XAO48BY43o
galceador," The ""galceador"", regulated to his will, is the special curved tool that he uses to make the gargles",9XAO48BY43o
Chopping the hoops," ""Chopping the hoops"" consists of tighten them with a hammer blow with the repressor, placing the part that has the rivets on the table that corresponds to the mouth",9XAO48BY43o
screws," The placement of the funds is done with the help of the ""screws"" that allow them to be inserted into the gargles lubricated with flour putty",9XAO48BY43o
repels," To polish the barrel, the normal carpenter's brush and the polishing scraper are used, with successive and skilful passes so as not to make ""repels"" or splinters in the wood",9XAO48BY43o
furiégano," In my hand I have two small bushes of oregano or ""furiégano"" as they call it in some areas",xa8kMccHIs8
despidenovios," It is called by the area, it is also called by this area ""despidenovios"" and well, it is a cultivated plant but it has always existed in all the orchards and houses in the area",xa8kMccHIs8
juela," The work with the adze or ""juela"" is still done by hand because there is no machine that can replace the good work of the craftsman",PgGr20n-8V8
pine processionary moth," At sunset on summer evenings, the pupae of the ""pine processionary moth"", buried about four inches deep and wrapped in a silky cocoon, begin to stir",9rXCBvP2wn4
dusters," This is how ""dusters"" of dry needles remain that reveal their presence",9rXCBvP2wn4
natural enemies," As a whole, parasites, predators and diseases constitute what we call ""natural enemies"" of the processionary moth",9rXCBvP2wn4
equilibrium," In addition, the amount of food is much less than in an adult forest, so the pine forest is quickly defoliated, reaching a state of ""equilibrium"" in which the processionary populations and the reforestation survive precariously",9rXCBvP2wn4
invasion," These applications must be made when the defoliator populations have reached Level 3 infestation, that is, after the ""invasion"" stage, when defoliation has not yet been recorded in the pine forest",9rXCBvP2wn4
grey gold," Saurat is a small town in the Ariège Pyrenees that became famous in this century for the so-called ""grey gold"" that was extracted from its quarries and transformed into sharpening stones",PDJBq5tv2L0
stone for scythes," Today, around the mine, the abandoned entrances of many galleries recall the flourishing time when this small town was considered the capital of the ""stone for scythes""",PDJBq5tv2L0
gray gold," Sylvain Cuminetti is the heir to that Italian peddler who discovered this ""gray gold"" from Ariège; continuation of an old family tradition, today it is the last French producer of natural sharpening stones",PDJBq5tv2L0
tranchet," With the ""tranchet"", which is a special hammer, the craftsman gives the final thickness to each piece",PDJBq5tv2L0
On the Nature of Animals,"In the 3rd century after Christ, the Roman historian Claudius Aelianus, in his work ""On the Nature of Animals"", makes specific mention of fishing with insect-like lures in the Astraeus River, where the Macedonians fished for some kind of fish",jZfg7mshAdk
the favorite," This is the one that is used for drowned flies, for many kinds of hooks, because from this feather you can get even ""the favorite"", a fly that they call ""the favorite""",jZfg7mshAdk
clean," The first quantity of feathers, called ""clean"", cannot be extracted until six months ",jZfg7mshAdk
stretching," The work begins by ""stretching"" the branches starting from a central point",LPz0P_OWb08
cuts," Leonardo separates the logs of the worst quality and inappropriate shapes, to use them as ""cuts"" when he has to feed the charcoal burner",LPz0P_OWb08
tearing," The thinnest branches, which are the ones that need the least amount of fire, have been left for the end of this ""tearing"" process",LPz0P_OWb08
twig," At dawn the next day, Leonardo and José Manuel begin to ""twig"" leaves from the same oaks",LPz0P_OWb08
landing net," At the end, before setting it on fire, go over the entire surface with the ""landing net""",LPz0P_OWb08
feeds the tender," From time to time, Leonardo ""feeds the tender""",LPz0P_OWb08
hood," It must always be broken below the ""hood""",FD9jwU_Qc9M
thread," To give it the right consistency and to have a ""thread"", as our friend the madwoman says, mix the mud with the special sand collected in the ravine",DP9_qH7eHLg
birote," Fefita moistens the mud that has been left over from the door, to knead it again and use it in the ""birote"" or reinforcement of the door",DP9_qH7eHLg
foot," The press squeezes about eight hundred kilos for each ""foot"" or pressed",JjDb0_iXQHo
San Isidro," The ""San Isidro"" cooperative press in Torres del Río, belonging to the Tierra Estella region of Navarra, has always produced a pure oil, one hundred percent natural, as the members use it for their own consumption, thus maintaining a custom that is rooted in the traditional economy of this locality",JjDb0_iXQHo
escorcollar," Well, we are peeling almonds, separating the skin from the almond, which we call here ""escorcollar""",cDcnUvEX5Yo
escorcollado," Although the almond peeling machine advances the task a lot, we must also recognize that with its use the gatherings and meetings that were formed around the ""escorcollado"" have been lost",cDcnUvEX5Yo
