"issue","title","creator","state","comments","created","body"
1205,"Modeling of earthquakes in envo","cmungall","open",1,"2021-08-27T16:04:38Z","Carried on from #1182. 

Note: we should not block progress on #1182, that ticket needs to be fixed ASAP as currently the release version of ENVO has DL errors in it. We should close that ticket with a fix that remains close to the current axioms. Then at our leisure we can discuss long term modeling in this ticket.

Currently earthquake-plate relationships are modeled as has-participant. Is this ideal?

@dr-shorthair puts it well:

_Earthquake is a tricky one._

_From an engineering viewpoint, an earthquake is ground movement (vibration) at a location, as a result of various source phenomena at a distance. The characteristic properties are time, amplitude, acceleration etc at the observing location._

_From the viewpoint of most geologists and geophysicists, the earthquake is the source phenomenon. Usually underground fault-slippage or fracturing, but maybe cavity collapse, an underground explosion, etc. The characteristic properties are location, timing, focal-mechanism, moment, etc of the natural or artificial phenomenon at the source._

_These phenomena are causally related, but different, though often given the same name._

I suspect ENVO will want to focus on the latter view, and we would have separate processes to represent the causal effects, but we should discuss this

For the geological view, it points to a simple occurs_in relation between quakes and plates and plate-oriented entities, e.g

 * plate
    * plate boundary
    * region of overlap between two plates
    * etc

earthqake is currently under material transport process - does this fit well with both views above?"
1204,"No rain forest term?","turbomam","open",3,"2021-08-20T14:07:18Z","""rain forest"" is in one of the ROBOT-style Google Sheets that I've been asked to review and execute. The proposed definition is 

> A forest ecosystem which has tall and mostly evergreen trees characterized by a closed and continuous tree canopy and a high amount of annual rainfall

I think this is an example of a term that appears in the [annotation of a environmental biosample in GOLD](https://gold.jgi.doe.gov/biosamples?page=1&Biosample.Biosample+Name=rain+forest)

The only place I currently see 'rain.?forest' in EnvO is [tropical lowland evergreen broadleaf rain forest](https://www.ebi.ac.uk/ols/ontologies/envo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FENVO_01000384)

I have browsed the ENVO:01001243 [forest ecosystem](https://www.ebi.ac.uk/ols/ontologies/envo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FENVO_01001243&viewMode=All&siblings=false) branch of EnvO and see that the hierarchy is largely based on 
- the predominant type of leaves observed in a forest
- the prevailing climate
- the continuity of the canopy, etc.

I just don't have enough knowledge about this domain to tell if I can place a new 'rain forest' as a subclass of any existing term that's more specific than ""forest ecosystem""."
1203,"Definitions missing for several waste management terms","turbomam","open",0,"2021-08-19T14:26:48Z","Thes terms appear to lack textual definitions

- ENVO:00002043 'wastewater treatment plant'
- ENVO:00002272 'waste treatment plant'
- ENVO:00003043 'sewage plant'

Mentioning @jagadishcs because some of his term requests in [NMDC-05_EnvO_template_robot_sheet](https://docs.google.com/spreadsheets/d/1JHQcAqPAQZrS3ib3fxx34IzajBPMJr-THinPPphU0IE/edit#gid=1943344657) are based on these terms.

Here's the first link I found when Googling about the [difference between wastewater and sewage](https://www.oxymem.com/blog/sewage-versus-wastewater-whats-the-difference). I have no sense if the reliability of this source"
1202,"DC vs oboInOwl annotation properties?","turbomam","open",1,"2021-08-10T21:13:00Z","@pbuttigieg recently suggested switching to Dublin Core annotation properties, as opposed to of oboInOwl.

The NMDC team has been using oboInOwl in our templates, like [NMDC-03_EnvO_template_robot_sheet](https://docs.google.com/spreadsheets/d/12GICSjx2s3Ey0Crv9uMdkW8unt3LxPcOS2_u7EMAr38/edit#gid=2055246414)

- oboInOwl:created_by
- oboInOwl:creation_date^^xsd:dateTime
- oboInOwl:hasBroadSynonym@en
- oboInOwl:hasDbXref
- oboInOwl:hasExactSynonym@en
- oboInOwl:hasNarrowSynonym@en
- oboInOwl:hasRelatedSynonym@en
- oboInOwl:inSubset

That's based on @kaiiam's nice EnvO/robot documentation 

I have checked for predicate usage in EnvO via http://sparql.hegroup.org/sparql/

_Remember there are two different Dublin Core prefixes._

```
     xmlns:dc=""http://purl.org/dc/elements/1.1/""
     xmlns:terms=""http://purl.org/dc/terms/""
```
----

```SPARQL
SELECT  ?p (COUNT(?s) AS ?count)
WHERE
  { GRAPH <http://purl.obolibrary.org/obo/merged/ENVO>
      { ?s  ?p  ?o }
  }
GROUP BY ?p
```

## DC and oboInOwl usage

| ?p | ?count |
|---------------------------------------------|----:|
| http://purl.org/dc/elements/1.1/contributor | 186 |
| http://purl.org/dc/elements/1.1/creator     | 451 |
| http://purl.org/dc/elements/1.1/date        | 352 |
| http://purl.org/dc/elements/1.1/description | 1   |
| http://purl.org/dc/elements/1.1/source      | 3   |
| http://purl.org/dc/elements/1.1/title       | 1   |
| http://purl.org/dc/terms/creator            | 3   |
| http://purl.org/dc/terms/date               | 1   |
| http://purl.org/dc/terms/license            | 2   |
| http://purl.org/dc/terms/rightsHolder       | 1   |
| http://www.geneontology.org/formats/oboInOwl#consider          | 101  |
| http://www.geneontology.org/formats/oboInOwl#created_by        | 810  |
| http://www.geneontology.org/formats/oboInOwl#creation_date     | 591  |
| http://www.geneontology.org/formats/oboInOwl#default-namespace | 1    |
| http://www.geneontology.org/formats/oboInOwl#hasAlternativeId  | 86   |
| http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym   | 468  |
| http://www.geneontology.org/formats/oboInOwl#hasDbXref         | 7676 |
| http://www.geneontology.org/formats/oboInOwl#hasExactSynonym   | 3131 |
| http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym  | 465  |
| http://www.geneontology.org/formats/oboInOwl#hasOBONamespace   | 1130 |
| http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym | 1999 |
| http://www.geneontology.org/formats/oboInOwl#hasSynonym        | 36   |
| http://www.geneontology.org/formats/oboInOwl#hasSynonymType    | 106  |
| http://www.geneontology.org/formats/oboInOwl#id                | 1115 |
| http://www.geneontology.org/formats/oboInOwl#inSubset          | 1253 |
| http://www.geneontology.org/formats/oboInOwl#is_class_level    | 1    |
| http://www.geneontology.org/formats/oboInOwl#is_inferred       | 4    |
| http://www.geneontology.org/formats/oboInOwl#is_metadata_tag   | 1    |
| http://www.geneontology.org/formats/oboInOwl#shorthand         | 2    |
| http://www.geneontology.org/formats/oboInOwl#source            | 1    |

_Searching for `owl:onProperty`s associated with `owl:Restriction`s doesn't show any DC or oboInOwl usage that might need remediation._

There is also heterogeneity in the objects of the various APs for mentioning creators and contributors:

```SPARQL
SELECT  ?o (COUNT(?s) AS ?count)
WHERE
  { GRAPH <http://purl.obolibrary.org/obo/merged/ENVO>
      { ?s  <http://purl.org/dc/elements/1.1/contributor>  ?o }
  }
GROUP BY ?o
```

- `dc:contributor` all IRIs, except for nine ""https://orcid.org/0000-0002-7556-2097"" strings
- `dc:creator`? mixture of ORCID IRIs, ORCID strings and **some non-ORCID strings**. Some `http` and some `https`
- `terms:creator`?  All names or initials
- `http://www.geneontology.org/formats/oboInOwl#created_by` most heterogeneous!


"
1201,"add pattern for contamination","wdduncan","open",0,"2021-08-09T20:29:25Z","Fixes #1102 

Opening PR for contamination pattern"
1200,"Request for a new set of EnvO terms","jagadishcs","open",2,"2021-08-09T05:10:36Z","Hi @turbomam 
@cmungall 
@wdduncan 
@TBKReddy

Request for a creation of [new set of EnvO terms](https://docs.google.com/spreadsheets/d/1JHQcAqPAQZrS3ib3fxx34IzajBPMJr-THinPPphU0IE/edit#gid=1943344657)."
1199,"inconsistencies in hierarchy between envo-basic.obo, envo-basic.json, and envo-basic.owl","wdduncan","open",1,"2021-08-06T20:17:16Z","The hierarchies differ in the `envo-basic.obo`, `envo-basic.json`, and `envo-basic.owl` files.

For example, here is hierarchy for `lake` in `envo-basic.obo`:
![image](https://user-images.githubusercontent.com/3186638/128566169-c89eb8f1-ba23-4c55-a23f-f1baffefe06f.png)

The corresponding json in `envo-basic.json` does not have a `""is_a"": ...` block.

The `envo-basic.owl` file, however, does have a hierarchy:

![image](https://user-images.githubusercontent.com/3186638/128566574-0b198964-403d-4ade-b2e9-a4d94b34f150.png)

cc @cmungall 
"
1198,"envo basic is missing many parents","cmungall","open",3,"2021-08-06T20:05:56Z","caused by this:

![image](https://user-images.githubusercontent.com/50745/128565591-2596c126-74c9-4923-9f20-8d70b03a43ff.png)

we should be running reason prior to making basic?"
1196,"fluid astronomical body part and compound astronomical body part have same logical def","matentzn","open",1,"2021-08-04T11:52:51Z","![image](https://user-images.githubusercontent.com/7070631/128175435-d0c4527d-3cf6-46c3-8583-b561cabd009a.png)

Causes problems downstream would be good to fix (I can, if I knew how), but then we also need a new release.

Also, we need to check for that, will make a PR.

![image](https://user-images.githubusercontent.com/7070631/128175668-c80d073c-6ae4-4251-b1aa-5fdb978e6325.png)



"
1195,"Issue #1193 Jagadish NMDC NTRs from 202100702","turbomam","open",0,"2021-07-15T14:13:26Z","See also [NMDC-04_EnvO_template_robot_sheet](https://docs.google.com/spreadsheets/d/17yfrsNTiYk7XhYAQMJMYt7Is0RspLmZHu0WWpotIb9o/edit#gid=724193215)
"
1194,"Request for new ENVO terms","kukay003","open",1,"2021-07-14T20:42:08Z","Request for new envo terms of the attached terms.
[ENVO term request.xlsx](https://github.com/EnvironmentOntology/envo/files/6818827/ENVO.term.request.xlsx)
"
1193,"Request for new EnvO terms","jagadishcs","open",1,"2021-07-03T00:49:37Z","@turbomam
@cmungall
@TBKReddy

Request for creation of a new set of EnvO [terms](https://docs.google.com/spreadsheets/d/17yfrsNTiYk7XhYAQMJMYt7Is0RspLmZHu0WWpotIb9o/edit#gid=724193215)."
1192,"Issue #1191 jagadish 20210625","turbomam","open",0,"2021-06-29T13:27:17Z","Looking forward to the review process!

I have left two terms from #1191 out of the robot template execution, because @cmungall and I still had some questions after a brief meeting we had yesterday. See https://docs.google.com/spreadsheets/d/12GICSjx2s3Ey0Crv9uMdkW8unt3LxPcOS2_u7EMAr38/edit#gid=1778038570"
1191,"Request for new terms","jagadishcs","open",18,"2021-06-24T04:19:46Z","@turbomam 
@cmungall 
@TBKReddy

Request for creation of new EnvO terms for the list provided [here](https://docs.google.com/spreadsheets/d/12GICSjx2s3Ey0Crv9uMdkW8unt3LxPcOS2_u7EMAr38/edit#gid=154764881)
 "
1190,"Discuss: add import for REX","cmungall","open",0,"2021-06-24T00:49:30Z","http://obofoundry.org/ontology/rex

this has concepts for processes like nuclear fission that may be useful

note although the site doesn't show it, rex is orphaned - https://github.com/OBOFoundry/OBOFoundry.github.io/issues/788

on the one hand I don't like a dependency on an ontology with no owner

on the other hand the quality seems fine, and the content is likely stable

one option would be to adopt rex"
1189,"NTR: insulated shipping container","Dalalghamdi","open",0,"2021-06-23T19:35:37Z","Term request for bio-banking ontology project.

Term label 'insulated shipping container'
parent class 'container'
definition 'A container which is used to ship temperature sensitive products such as foods, pharmaceuticals, organs, blood, biologic materials, and chemicals'

Thanks, 
Dalia"
1186,"issue-1185, further editing of plastics related terms","raissameyer","open",1,"2021-06-17T14:57:33Z","PR addressing #1185, adding additional terms to the envoPlatics subset, updating 'nurdle', obsoleting 'plastic production compound' and 'manufactured plastic'."
1185,"Editing nurdle, obsoleting manufactured plastic, and plastic production compound, and adding further relevant classes to the envoPlastics subset","raissameyer","open",1,"2021-06-17T14:35:21Z","As part of our work for UN environment on SDG 14 ...

---

...I'm editing the following class such that it follow the genus-differentia structure: 

**Term**: [nurdle](http://purl.obolibrary.org/obo/ENVO_01000777) (xRef #289)

**Former parent class**: [piece of plastic](http://purl.obolibrary.org/obo/ENVO_01000776)
**Former definition**: A cylindrical shaped pre-production plastic pellet used in manufacturing and packaging.

**New parent class**: [plastic pellet](https://www.ebi.ac.uk/ols/ontologies/envo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FENVO_06105010)
**New definition**: A plastic pellet which is produced such that its size allows it to be rapidly melted and used as input for further downstream manufacturing processes.

---

... I'll also obsolete the following terms:

**Term**: [plastic production compound](http://purl.obolibrary.org/obo/ENVO_03510039)
**Former definition**: A compound utilized for the production of plastics or polymers.
**Former comment**: Plastics are produced by the conversion of natural products or by the synthesis of primary chemicals generally coming from oil, natural gas, or coal. Plasctic production compounds typically include elements such as carbon, hydrogen, oxygen, nitrogen, chlorine, and sulfur.
**Reason for obsoletion**: This term is ambigious, as it could refer to the compound the plastic is (supposed to be) made of, additives, contaminants, etc. Please instead directly refer to the compound of interest.

**Term**: [manufactured plastic](http://purl.obolibrary.org/obo/ENVO_01000404)
**Former definition**: A (portion of) plastic is an (portion of) anthropogenic environmental material including any of numerous organic synthetic or processed materials which are primarily composed of thermoplastic or thermosetting polymers of high molecular weight.
**Reason for obsoletion**: This term has been replaced by [synthetic plastic](http://purl.obolibrary.org/obo/ENVO_06105112) as part of a more coherent set of classes as part of the SDG14.1.1 project (see https://github.com/EnvironmentOntology/envo/projects/17)

Please let me know if there is a need for these terms to stay.

---

... and adding `nurdle`, and `polyester polymer` to the envoPlastics subset. 

"
1184,"New terms for refineries and reactors","cmungall","open",2,"2021-06-16T23:02:29Z","New terms for refineries and reactors:

http://purl.obolibrary.org/obo/ENVO_02000137 nuclear power reactor
http://purl.obolibrary.org/obo/ENVO_02000138 mangrove biome soil
http://purl.obolibrary.org/obo/ENVO_02000141 refinery
http://purl.obolibrary.org/obo/ENVO_02000142 petroleum oil refinery
http://purl.obolibrary.org/obo/ENVO_02000143 sugar refinery
http://purl.obolibrary.org/obo/ENVO_02000144 natural gas processing plant

some of these are used for gold mapping

for axiomatization this includes two new OPs:

http://purl.obolibrary.org/obo/ENVO_02000139 used for transport of
http://purl.obolibrary.org/obo/ENVO_02000145 used for processing of

These may be later added to RO
"
1183,"NTR: forest","cmungall","open",1,"2021-06-16T14:56:56Z","ENVO doesn't have a class with label 'forest'.

http://purl.obolibrary.org/obo/ENVO_00000111 ""forested area"" has a related synonym 'forest', but this is an immaterial entity:

_An area with a high density of trees. A small forest may be called a wood. [ https://en.wikipedia.org/wiki/Forest ]_:
![image](https://user-images.githubusercontent.com/50745/122240419-9e2acd00-ce76-11eb-98eb-e6113f72280c.png)

This means that someone searching for ENVO for a concept 'forest' is likely to come across ENVO_00000111, and if they are not familiar with BFO (likely) they will look at the definition and select it for their purposes, even though this is an immaterial entity.

I don't think anyone would consider a forest to be an immaterial entity

Note that in previous versions of ENVO, ENVO_00000111 represented an actual forest, which was a material entity:

![image](https://user-images.githubusercontent.com/50745/122242059-e0084300-ce77-11eb-8a02-c7b1b35d58d6.png)

At some point parts of the feature branch were moved from material to immaterial. I think as per obo policy this should have resulted in obsoletions, as when you change a basic concept like a forest from being something material with trees as parts etc to immaterial, you are changing the meaning radically.

Note we also have an ENVO class for 'forest ecosystem', which is currently the best term for people looking for a forest concept.

Moving forward, I propose one of 3 courses of action:

 1. create a new term forest, which would related to 'forest ecosystem' the same way 'desert' relates to 'desert ecosystem'. Remove the synonym 'forest' from the immaterial class
 2. Add the string 'forest' as an exact synonym to 'forest ecosystem'. Remove the synonym 'forest' from the immaterial class
 3. Move ENVO_00000111 back under material entity, and restore the label forest"
1180,"NTR: shipwreck","cmungall","open",1,"2021-06-15T03:43:58Z","https://en.wikipedia.org/wiki/Shipwreck

There is existing work going on now in ENVO for various kinds of marine debris, I am not sure if this fits in"
1179,"NTRs: Indoor and outdoor air","cmungall","open",0,"2021-06-15T03:39:18Z","I propose an alternate way to subdivide air. We currently have:

![image](https://user-images.githubusercontent.com/50745/121989019-4003ca00-cd50-11eb-9940-2dadfcdca9d0.png)

I can add two classes, indoor and outdoor air, using contained-in some building as differentia



"
1178,"NTR: thermokarst pond","cmungall","open",0,"2021-06-15T03:31:36Z","We currently have:

[Term]
id: ENVO:03000082
name: thermokarst lake
def: ""A freshwater lake which fills a depression formed by the erosion of thermokarst caused by permafrost thaw."" [https://en.wikipedia.org/wiki/Thermokarst]
subset: envoPolar
synonym: ""cave-in lake"" EXACT  []
synonym: ""thaw lake"" EXACT  []
synonym: ""thermokarst lakes"" EXACT  []
is_a: ENVO:00000021 ! freshwater lake
relationship: BFO:0000050 ENVO:03000085 ! part of thermokarst
relationship: RO:0002220 ENVO:03000084 ! adjacent to thermokarst depression
relationship: RO:0002354 ENVO:03000086 ! formed as result of ice-bearing permafrost thawing process
relationship: RO:0002473 ENVO:01000722 ! composed primarily of meltwater

[Term]
id: ENVO:03000084
name: thermokarst depression
def: ""A geographic basin which is formed due to the erosion of thermokarst by meltwater released from thawing permafrost."" []
subset: envoPolar
is_a: ENVO:01001781 ! part of a landmass
is_a: ENVO:03000015 ! geographic basin
relationship: BFO:0000050 ENVO:03000085 ! part of thermokarst
relationship: RO:0002354 ENVO:03000086 ! formed as result of ice-bearing permafrost thawing process

[Term]
id: ENVO:03000085
name: thermokarst
def: ""An irregular land surface which consists of marshy hollows, hummocks, thermokarst depressions and thermokarst lakes formed from the erosion of ice-rich thawing permafrost areas."" [https://en.wikipedia.org/wiki/Thermokarst]
subset: envoPolar
is_a: ENVO:01000635 ! planetary landmass
relationship: BFO:0000051 ENVO:03000084 ! has part thermokarst depression
relationship: RO:0002354 ENVO:03000086 ! formed as result of ice-bearing permafrost thawing process

 - Option 1: Add a synonym to 'thermokarst lake'
    - https://en.wikipedia.org/wiki/Thermokarst suggests T-lakes are shallow, and than T-pond and tundra pond are acceptable synonyms
 - Option 2: Add a new class
    - I would suggest we also add a grouping for Thermokarst-body-of-water
    - I would also implement a DP, Thermokarst-X = X and formed-as-result-of thermokarst formation process

I favor 1 but welcome advice"
1177,"NTRs: algal bloom subtypes by taxonomy","cmungall","open",0,"2021-06-15T03:24:15Z","![image](https://user-images.githubusercontent.com/50745/121987783-05009700-cd4e-11eb-8228-a27afc5d2d40.png)

current divided into fresh w marine

I propose also by algal type eg

 * unicellular
    * cyanobacteria
    * ...
 * macroscopic multicellular
    * ...

The string HAB (harmful algal bloom may be useful somewhere as this is an important concept. I am not sure it makes sense to make a subclass for this. We get into ragged lattice issues (i.e do we pre-populate the cross-product of harmfulness x water type x algal type?). I suggest a narrow syn for now but am happy to defer this part."
1176,"NTR: Periphyton","cmungall","open",1,"2021-06-15T03:17:51Z","https://en.wikipedia.org/wiki/Periphyton

_ a mass of biological material consisting of algae, cyanobacteria, heterotrophic microbes, and detritus that is attached to submerged surfaces in most aquatic ecosystems._

I believe this would fit in this hierarchy:

![image](https://user-images.githubusercontent.com/50745/121987460-5d836480-cd4d-11eb-9965-f16738b39a32.png)

optionally add has-part axioms to various NCBITaxon classes

I believe this belongs in ENVO and not PCO due to the fact this aggregate consists also of non-living organisms eg detritus, but ccing @ramonawalls 
"
